"","date","borough","syndrome","Ages 0-4 years","Ages 18-64 years","Ages 5-17 years","Ages 65+ years","All age groups","o65","u5","dow","epiyr","jul1.date","day.index"
"5239",2018-01-18,"Citywide","Respiratory",319,943,268,433,1963,433,319,"Thursday",2017,2017-07-01,201
"5246",2018-01-19,"Citywide","Respiratory",294,1001,273,389,1957,389,294,"Friday",2017,2017-07-01,202
"5253",2018-01-20,"Citywide","Respiratory",361,879,278,402,1920,402,361,"Saturday",2017,2017-07-01,203
"5260",2018-01-21,"Citywide","Respiratory",414,910,355,367,2046,367,414,"Sunday",2017,2017-07-01,204
"5267",2018-01-22,"Citywide","Respiratory",396,1107,433,517,2453,517,396,"Monday",2017,2017-07-01,205
"5274",2018-01-23,"Citywide","Respiratory",325,1093,392,427,2237,427,325,"Tuesday",2017,2017-07-01,206
"5281",2018-01-24,"Citywide","Respiratory",353,1000,397,408,2158,408,353,"Wednesday",2017,2017-07-01,207
"5288",2018-01-25,"Citywide","Respiratory",344,1023,371,389,2127,389,344,"Thursday",2017,2017-07-01,208
"5295",2018-01-26,"Citywide","Respiratory",382,947,349,398,2076,398,382,"Friday",2017,2017-07-01,209
"5302",2018-01-27,"Citywide","Respiratory",387,873,339,369,1968,369,387,"Saturday",2017,2017-07-01,210
"5309",2018-01-28,"Citywide","Respiratory",398,949,401,367,2115,367,398,"Sunday",2017,2017-07-01,211
"5316",2018-01-29,"Citywide","Respiratory",417,1168,573,468,2626,468,417,"Monday",2017,2017-07-01,212
"5323",2018-01-30,"Citywide","Respiratory",405,1048,519,449,2421,449,405,"Tuesday",2017,2017-07-01,213
"5330",2018-01-31,"Citywide","Respiratory",382,1022,483,377,2264,377,382,"Wednesday",2017,2017-07-01,214
"5337",2018-02-01,"Citywide","Respiratory",386,1021,460,401,2268,401,386,"Thursday",2017,2017-07-01,215
"5344",2018-02-02,"Citywide","Respiratory",379,936,360,339,2014,339,379,"Friday",2017,2017-07-01,216
"5351",2018-02-03,"Citywide","Respiratory",381,867,408,328,1984,328,381,"Saturday",2017,2017-07-01,217
"5358",2018-02-04,"Citywide","Respiratory",366,849,459,330,2004,330,366,"Sunday",2017,2017-07-01,218
"5365",2018-02-05,"Citywide","Respiratory",433,1170,663,452,2718,452,433,"Monday",2017,2017-07-01,219
"5372",2018-02-06,"Citywide","Respiratory",455,1266,817,429,2967,429,455,"Tuesday",2017,2017-07-01,220
"5379",2018-02-07,"Citywide","Respiratory",410,1044,605,342,2401,342,410,"Wednesday",2017,2017-07-01,221
"5386",2018-02-08,"Citywide","Respiratory",362,1038,480,388,2268,388,362,"Thursday",2017,2017-07-01,222
"5393",2018-02-09,"Citywide","Respiratory",386,953,461,381,2181,381,386,"Friday",2017,2017-07-01,223
"5400",2018-02-10,"Citywide","Respiratory",404,934,472,362,2172,362,404,"Saturday",2017,2017-07-01,224
"5407",2018-02-11,"Citywide","Respiratory",439,933,603,361,2336,361,439,"Sunday",2017,2017-07-01,225
"5414",2018-02-12,"Citywide","Respiratory",514,1240,728,491,2973,491,514,"Monday",2017,2017-07-01,226
"5421",2018-02-13,"Citywide","Respiratory",478,1118,679,405,2680,405,478,"Tuesday",2017,2017-07-01,227
"5428",2018-02-14,"Citywide","Respiratory",431,1025,491,363,2310,363,431,"Wednesday",2017,2017-07-01,228
"5435",2018-02-15,"Citywide","Respiratory",404,1037,474,382,2297,382,404,"Thursday",2017,2017-07-01,229
"5442",2018-02-16,"Citywide","Respiratory",372,949,399,412,2132,412,372,"Friday",2017,2017-07-01,230
"5449",2018-02-17,"Citywide","Respiratory",383,770,398,323,1874,323,383,"Saturday",2017,2017-07-01,231
"5456",2018-02-18,"Citywide","Respiratory",402,814,432,302,1950,302,402,"Sunday",2017,2017-07-01,232
"5463",2018-02-19,"Citywide","Respiratory",408,963,467,372,2210,372,408,"Monday",2017,2017-07-01,233
"5470",2018-02-20,"Citywide","Respiratory",392,939,338,411,2080,411,392,"Tuesday",2017,2017-07-01,234
"5477",2018-02-21,"Citywide","Respiratory",345,826,252,369,1792,369,345,"Wednesday",2017,2017-07-01,235
"5484",2018-02-22,"Citywide","Respiratory",321,767,226,351,1665,351,321,"Thursday",2017,2017-07-01,236
"5491",2018-02-23,"Citywide","Respiratory",282,695,186,320,1483,320,282,"Friday",2017,2017-07-01,237
"5498",2018-02-24,"Citywide","Respiratory",273,683,136,269,1361,269,273,"Saturday",2017,2017-07-01,238
"5505",2018-02-25,"Citywide","Respiratory",256,646,171,277,1350,277,256,"Sunday",2017,2017-07-01,239
"5512",2018-02-26,"Citywide","Respiratory",271,831,209,375,1686,375,271,"Monday",2017,2017-07-01,240
"5519",2018-02-27,"Citywide","Respiratory",284,677,203,321,1485,321,284,"Tuesday",2017,2017-07-01,241
"5526",2018-02-28,"Citywide","Respiratory",254,677,157,297,1385,297,254,"Wednesday",2017,2017-07-01,242
"5533",2018-03-01,"Citywide","Respiratory",256,647,171,289,1363,289,256,"Thursday",2017,2017-07-01,243
"5540",2018-03-02,"Citywide","Respiratory",171,528,113,228,1040,228,171,"Friday",2017,2017-07-01,244
"5547",2018-03-03,"Citywide","Respiratory",246,516,117,279,1158,279,246,"Saturday",2017,2017-07-01,245
"5554",2018-03-04,"Citywide","Respiratory",237,557,151,248,1193,248,237,"Sunday",2017,2017-07-01,246
"5561",2018-03-05,"Citywide","Respiratory",169,765,186,337,1457,337,169,"Monday",2017,2017-07-01,247
"5568",2018-03-06,"Citywide","Respiratory",256,626,168,311,1361,311,256,"Tuesday",2017,2017-07-01,248
"5575",2018-03-07,"Citywide","Respiratory",171,446,112,204,933,204,171,"Wednesday",2017,2017-07-01,249
"5582",2018-03-08,"Citywide","Respiratory",204,586,163,268,1221,268,204,"Thursday",2017,2017-07-01,250
"5589",2018-03-09,"Citywide","Respiratory",191,616,130,286,1223,286,191,"Friday",2017,2017-07-01,251
"5596",2018-03-10,"Citywide","Respiratory",174,518,126,244,1062,244,174,"Saturday",2017,2017-07-01,252
"5603",2018-03-11,"Citywide","Respiratory",201,472,156,248,1077,248,201,"Sunday",2017,2017-07-01,253
"5610",2018-03-12,"Citywide","Respiratory",270,658,230,325,1483,325,270,"Monday",2017,2017-07-01,254
"5617",2018-03-13,"Citywide","Respiratory",172,549,186,237,1144,237,172,"Tuesday",2017,2017-07-01,255
"5624",2018-03-14,"Citywide","Respiratory",196,621,184,299,1300,299,196,"Wednesday",2017,2017-07-01,256
"5631",2018-03-15,"Citywide","Respiratory",178,582,142,277,1179,277,178,"Thursday",2017,2017-07-01,257
"5638",2018-03-16,"Citywide","Respiratory",197,524,184,278,1183,278,197,"Friday",2017,2017-07-01,258
"5645",2018-03-17,"Citywide","Respiratory",212,438,149,218,1017,218,212,"Saturday",2017,2017-07-01,259
"5652",2018-03-18,"Citywide","Respiratory",233,461,157,229,1080,229,233,"Sunday",2017,2017-07-01,260
"5659",2018-03-19,"Citywide","Respiratory",233,672,251,339,1495,339,233,"Monday",2017,2017-07-01,261
"5666",2018-03-20,"Citywide","Respiratory",211,626,236,300,1373,300,211,"Tuesday",2017,2017-07-01,262
"5673",2018-03-21,"Citywide","Respiratory",162,417,106,186,871,186,162,"Wednesday",2017,2017-07-01,263
"5680",2018-03-22,"Citywide","Respiratory",232,576,154,243,1205,243,232,"Thursday",2017,2017-07-01,264
"5687",2018-03-23,"Citywide","Respiratory",204,568,160,295,1227,295,204,"Friday",2017,2017-07-01,265
"5694",2018-03-24,"Citywide","Respiratory",213,472,130,228,1043,228,213,"Saturday",2017,2017-07-01,266
"5701",2018-03-25,"Citywide","Respiratory",214,496,156,218,1084,218,214,"Sunday",2017,2017-07-01,267
"5708",2018-03-26,"Citywide","Respiratory",230,631,212,332,1405,332,230,"Monday",2017,2017-07-01,268
"5715",2018-03-27,"Citywide","Respiratory",204,601,176,298,1279,298,204,"Tuesday",2017,2017-07-01,269
"5722",2018-03-28,"Citywide","Respiratory",174,559,163,280,1176,280,174,"Wednesday",2017,2017-07-01,270
"5729",2018-03-29,"Citywide","Respiratory",185,547,112,284,1128,284,185,"Thursday",2017,2017-07-01,271
"5736",2018-03-30,"Citywide","Respiratory",197,468,100,267,1032,267,197,"Friday",2017,2017-07-01,272
"5743",2018-03-31,"Citywide","Respiratory",190,459,115,223,987,223,190,"Saturday",2017,2017-07-01,273
"5750",2018-04-01,"Citywide","Respiratory",231,504,112,234,1081,234,231,"Sunday",2017,2017-07-01,274
"5757",2018-04-02,"Citywide","Respiratory",179,609,119,279,1186,279,179,"Monday",2017,2017-07-01,275
"5764",2018-04-03,"Citywide","Respiratory",202,589,123,286,1200,286,202,"Tuesday",2017,2017-07-01,276
"5771",2018-04-04,"Citywide","Respiratory",176,620,110,304,1210,304,176,"Wednesday",2017,2017-07-01,277
"5778",2018-04-05,"Citywide","Respiratory",183,529,96,267,1075,267,183,"Thursday",2017,2017-07-01,278
"5785",2018-04-06,"Citywide","Respiratory",173,586,86,243,1088,243,173,"Friday",2017,2017-07-01,279
"5792",2018-04-07,"Citywide","Respiratory",198,473,75,241,987,241,198,"Saturday",2017,2017-07-01,280
"5799",2018-04-08,"Citywide","Respiratory",213,504,103,257,1077,257,213,"Sunday",2017,2017-07-01,281
"5806",2018-04-09,"Citywide","Respiratory",206,682,131,294,1313,294,206,"Monday",2017,2017-07-01,282
"5813",2018-04-10,"Citywide","Respiratory",175,545,102,306,1128,306,175,"Tuesday",2017,2017-07-01,283
"5820",2018-04-11,"Citywide","Respiratory",169,548,85,265,1067,265,169,"Wednesday",2017,2017-07-01,284
"5827",2018-04-12,"Citywide","Respiratory",182,583,83,283,1131,283,182,"Thursday",2017,2017-07-01,285
"5834",2018-04-13,"Citywide","Respiratory",171,498,96,309,1074,309,171,"Friday",2017,2017-07-01,286
"5841",2018-04-14,"Citywide","Respiratory",150,414,101,217,882,217,150,"Saturday",2017,2017-07-01,287
"5848",2018-04-15,"Citywide","Respiratory",177,469,97,203,946,203,177,"Sunday",2017,2017-07-01,288
"5855",2018-04-16,"Citywide","Respiratory",157,596,134,276,1163,276,157,"Monday",2017,2017-07-01,289
"5862",2018-04-17,"Citywide","Respiratory",178,578,139,284,1179,284,178,"Tuesday",2017,2017-07-01,290
"5869",2018-04-18,"Citywide","Respiratory",186,540,141,276,1143,276,186,"Wednesday",2017,2017-07-01,291
"5876",2018-04-19,"Citywide","Respiratory",170,531,107,260,1068,260,170,"Thursday",2017,2017-07-01,292
"5883",2018-04-20,"Citywide","Respiratory",160,509,110,267,1046,267,160,"Friday",2017,2017-07-01,293
"5890",2018-04-21,"Citywide","Respiratory",161,427,105,241,934,241,161,"Saturday",2017,2017-07-01,294
"5897",2018-04-22,"Citywide","Respiratory",174,452,127,228,981,228,174,"Sunday",2017,2017-07-01,295
"5904",2018-04-23,"Citywide","Respiratory",170,598,171,330,1269,330,170,"Monday",2017,2017-07-01,296
"5911",2018-04-24,"Citywide","Respiratory",173,561,129,261,1124,261,173,"Tuesday",2017,2017-07-01,297
"5918",2018-04-25,"Citywide","Respiratory",169,550,156,292,1167,292,169,"Wednesday",2017,2017-07-01,298
"5925",2018-04-26,"Citywide","Respiratory",151,527,142,279,1099,279,151,"Thursday",2017,2017-07-01,299
"5932",2018-04-27,"Citywide","Respiratory",174,526,101,256,1057,256,174,"Friday",2017,2017-07-01,300
"5939",2018-04-28,"Citywide","Respiratory",183,428,115,237,963,237,183,"Saturday",2017,2017-07-01,301
"5946",2018-04-29,"Citywide","Respiratory",191,449,137,242,1019,242,191,"Sunday",2017,2017-07-01,302
"5953",2018-04-30,"Citywide","Respiratory",214,636,178,326,1354,326,214,"Monday",2017,2017-07-01,303
"5960",2018-05-01,"Citywide","Respiratory",193,469,146,272,1080,272,193,"Tuesday",2017,2017-07-01,304
"5967",2018-05-02,"Citywide","Respiratory",187,568,124,302,1181,302,187,"Wednesday",2017,2017-07-01,305
"5974",2018-05-03,"Citywide","Respiratory",173,540,140,280,1133,280,173,"Thursday",2017,2017-07-01,306
"5981",2018-05-04,"Citywide","Respiratory",157,524,130,281,1092,281,157,"Friday",2017,2017-07-01,307
"5988",2018-05-05,"Citywide","Respiratory",182,479,155,227,1043,227,182,"Saturday",2017,2017-07-01,308
"5995",2018-05-06,"Citywide","Respiratory",229,503,180,227,1139,227,229,"Sunday",2017,2017-07-01,309
"6002",2018-05-07,"Citywide","Respiratory",199,640,226,339,1404,339,199,"Monday",2017,2017-07-01,310
"6009",2018-05-08,"Citywide","Respiratory",178,576,255,278,1287,278,178,"Tuesday",2017,2017-07-01,311
"6016",2018-05-09,"Citywide","Respiratory",174,596,226,246,1242,246,174,"Wednesday",2017,2017-07-01,312
"6023",2018-05-10,"Citywide","Respiratory",184,585,242,254,1265,254,184,"Thursday",2017,2017-07-01,313
"6030",2018-05-11,"Citywide","Respiratory",191,673,241,261,1366,261,191,"Friday",2017,2017-07-01,314
"6037",2018-05-12,"Citywide","Respiratory",196,627,218,200,1241,200,196,"Saturday",2017,2017-07-01,315
"6044",2018-05-13,"Citywide","Respiratory",195,517,193,222,1127,222,195,"Sunday",2017,2017-07-01,316
"6051",2018-05-14,"Citywide","Respiratory",223,672,283,352,1530,352,223,"Monday",2017,2017-07-01,317
"6058",2018-05-15,"Citywide","Respiratory",191,585,210,286,1272,286,191,"Tuesday",2017,2017-07-01,318
"6065",2018-05-16,"Citywide","Respiratory",205,613,165,296,1279,296,205,"Wednesday",2017,2017-07-01,319
"6072",2018-05-17,"Citywide","Respiratory",180,532,167,292,1171,292,180,"Thursday",2017,2017-07-01,320
"6079",2018-05-18,"Citywide","Respiratory",196,532,126,243,1097,243,196,"Friday",2017,2017-07-01,321
"6086",2018-05-19,"Citywide","Respiratory",199,465,109,213,986,213,199,"Saturday",2017,2017-07-01,322
"6093",2018-05-20,"Citywide","Respiratory",238,493,152,258,1141,258,238,"Sunday",2017,2017-07-01,323
"6100",2018-05-21,"Citywide","Respiratory",225,615,205,308,1353,308,225,"Monday",2017,2017-07-01,324
"6107",2018-05-22,"Citywide","Respiratory",206,634,194,298,1332,298,206,"Tuesday",2017,2017-07-01,325
"6114",2018-05-23,"Citywide","Respiratory",183,589,128,306,1206,306,183,"Wednesday",2017,2017-07-01,326
"6121",2018-05-24,"Citywide","Respiratory",208,548,141,280,1177,280,208,"Thursday",2017,2017-07-01,327
"6128",2018-05-25,"Citywide","Respiratory",202,507,129,296,1134,296,202,"Friday",2017,2017-07-01,328
"6135",2018-05-26,"Citywide","Respiratory",209,472,117,250,1048,250,209,"Saturday",2017,2017-07-01,329
"6142",2018-05-27,"Citywide","Respiratory",231,472,100,243,1046,243,231,"Sunday",2017,2017-07-01,330
"6149",2018-05-28,"Citywide","Respiratory",244,560,156,271,1231,271,244,"Monday",2017,2017-07-01,331
"6156",2018-05-29,"Citywide","Respiratory",197,617,164,302,1280,302,197,"Tuesday",2017,2017-07-01,332
"6163",2018-05-30,"Citywide","Respiratory",190,510,139,265,1104,265,190,"Wednesday",2017,2017-07-01,333
"6170",2018-05-31,"Citywide","Respiratory",183,548,109,226,1066,226,183,"Thursday",2017,2017-07-01,334
"6177",2018-06-01,"Citywide","Respiratory",183,517,78,283,1061,283,183,"Friday",2017,2017-07-01,335
"6184",2018-06-02,"Citywide","Respiratory",162,463,77,246,948,246,162,"Saturday",2017,2017-07-01,336
"6191",2018-06-03,"Citywide","Respiratory",190,487,93,206,976,206,190,"Sunday",2017,2017-07-01,337
"6198",2018-06-04,"Citywide","Respiratory",177,624,125,288,1214,288,177,"Monday",2017,2017-07-01,338
"6205",2018-06-05,"Citywide","Respiratory",163,613,110,243,1129,243,163,"Tuesday",2017,2017-07-01,339
"6212",2018-06-06,"Citywide","Respiratory",170,566,88,281,1105,281,170,"Wednesday",2017,2017-07-01,340
"6219",2018-06-07,"Citywide","Respiratory",195,543,94,262,1094,262,195,"Thursday",2017,2017-07-01,341
"6226",2018-06-08,"Citywide","Respiratory",164,505,95,262,1026,262,164,"Friday",2017,2017-07-01,342
"6233",2018-06-09,"Citywide","Respiratory",178,443,83,228,932,228,178,"Saturday",2017,2017-07-01,343
"6240",2018-06-10,"Citywide","Respiratory",192,467,105,244,1008,244,192,"Sunday",2017,2017-07-01,344
"6247",2018-06-11,"Citywide","Respiratory",182,610,118,317,1227,317,182,"Monday",2017,2017-07-01,345
"6254",2018-06-12,"Citywide","Respiratory",156,559,88,245,1048,245,156,"Tuesday",2017,2017-07-01,346
"6261",2018-06-13,"Citywide","Respiratory",161,500,87,259,1007,259,161,"Wednesday",2017,2017-07-01,347
"6268",2018-06-14,"Citywide","Respiratory",134,486,62,236,918,236,134,"Thursday",2017,2017-07-01,348
"6275",2018-06-15,"Citywide","Respiratory",125,456,79,228,888,228,125,"Friday",2017,2017-07-01,349
"6282",2018-06-16,"Citywide","Respiratory",147,423,89,179,838,179,147,"Saturday",2017,2017-07-01,350
"6289",2018-06-17,"Citywide","Respiratory",145,436,75,218,874,218,145,"Sunday",2017,2017-07-01,351
"6296",2018-06-18,"Citywide","Respiratory",174,609,112,333,1228,333,174,"Monday",2017,2017-07-01,352
"6303",2018-06-19,"Citywide","Respiratory",158,568,74,280,1080,280,158,"Tuesday",2017,2017-07-01,353
"6310",2018-06-20,"Citywide","Respiratory",143,532,69,261,1005,261,143,"Wednesday",2017,2017-07-01,354
"6317",2018-06-21,"Citywide","Respiratory",120,525,63,252,960,252,120,"Thursday",2017,2017-07-01,355
"6324",2018-06-22,"Citywide","Respiratory",121,422,62,247,852,247,121,"Friday",2017,2017-07-01,356
"6331",2018-06-23,"Citywide","Respiratory",136,412,65,238,851,238,136,"Saturday",2017,2017-07-01,357
"6338",2018-06-24,"Citywide","Respiratory",136,420,69,223,848,223,136,"Sunday",2017,2017-07-01,358
"6345",2018-06-25,"Citywide","Respiratory",145,578,75,287,1085,287,145,"Monday",2017,2017-07-01,359
"6352",2018-06-26,"Citywide","Respiratory",115,449,70,251,885,251,115,"Tuesday",2017,2017-07-01,360
"6359",2018-06-27,"Citywide","Respiratory",132,455,64,219,870,219,132,"Wednesday",2017,2017-07-01,361
"6366",2018-06-28,"Citywide","Respiratory",103,463,58,258,882,258,103,"Thursday",2017,2017-07-01,362
"6373",2018-06-29,"Citywide","Respiratory",129,413,78,226,846,226,129,"Friday",2017,2017-07-01,363
"6380",2018-06-30,"Citywide","Respiratory",95,370,63,194,722,194,95,"Saturday",2017,2017-07-01,364
"6387",2018-07-01,"Citywide","Respiratory",130,374,64,198,766,198,130,"Sunday",2018,2018-07-01,0
"6394",2018-07-02,"Citywide","Respiratory",127,524,55,282,988,282,127,"Monday",2018,2018-07-01,1
"6401",2018-07-03,"Citywide","Respiratory",108,442,43,218,811,218,108,"Tuesday",2018,2018-07-01,2
"6408",2018-07-04,"Citywide","Respiratory",108,381,57,167,713,167,108,"Wednesday",2018,2018-07-01,3
"6415",2018-07-05,"Citywide","Respiratory",127,474,68,246,915,246,127,"Thursday",2018,2018-07-01,4
"6422",2018-07-06,"Citywide","Respiratory",105,441,47,233,826,233,105,"Friday",2018,2018-07-01,5
"6429",2018-07-07,"Citywide","Respiratory",120,340,43,205,708,205,120,"Saturday",2018,2018-07-01,6
"6436",2018-07-08,"Citywide","Respiratory",103,362,44,217,726,217,103,"Sunday",2018,2018-07-01,7
"6443",2018-07-09,"Citywide","Respiratory",109,530,65,285,989,285,109,"Monday",2018,2018-07-01,8
"6450",2018-07-10,"Citywide","Respiratory",107,484,49,272,912,272,107,"Tuesday",2018,2018-07-01,9
"6457",2018-07-11,"Citywide","Respiratory",120,452,62,259,893,259,120,"Wednesday",2018,2018-07-01,10
"6464",2018-07-12,"Citywide","Respiratory",101,421,38,231,791,231,101,"Thursday",2018,2018-07-01,11
"6471",2018-07-13,"Citywide","Respiratory",90,443,62,262,857,262,90,"Friday",2018,2018-07-01,12
"6478",2018-07-14,"Citywide","Respiratory",80,339,40,210,669,210,80,"Saturday",2018,2018-07-01,13
"6485",2018-07-15,"Citywide","Respiratory",104,363,53,207,727,207,104,"Sunday",2018,2018-07-01,14
"6492",2018-07-16,"Citywide","Respiratory",103,528,61,264,956,264,103,"Monday",2018,2018-07-01,15
"6499",2018-07-17,"Citywide","Respiratory",86,475,55,236,852,236,86,"Tuesday",2018,2018-07-01,16
"6506",2018-07-18,"Citywide","Respiratory",90,427,41,220,778,220,90,"Wednesday",2018,2018-07-01,17
"6513",2018-07-19,"Citywide","Respiratory",111,402,49,218,780,218,111,"Thursday",2018,2018-07-01,18
"6520",2018-07-20,"Citywide","Respiratory",77,406,34,201,718,201,77,"Friday",2018,2018-07-01,19
"6527",2018-07-21,"Citywide","Respiratory",87,351,42,175,655,175,87,"Saturday",2018,2018-07-01,20
"6534",2018-07-22,"Citywide","Respiratory",102,343,40,197,682,197,102,"Sunday",2018,2018-07-01,21
"6541",2018-07-23,"Citywide","Respiratory",72,462,48,283,865,283,72,"Monday",2018,2018-07-01,22
"6548",2018-07-24,"Citywide","Respiratory",86,454,46,218,804,218,86,"Tuesday",2018,2018-07-01,23
"6555",2018-07-25,"Citywide","Respiratory",81,426,31,225,763,225,81,"Wednesday",2018,2018-07-01,24
"6562",2018-07-26,"Citywide","Respiratory",68,422,36,203,729,203,68,"Thursday",2018,2018-07-01,25
"6569",2018-07-27,"Citywide","Respiratory",67,385,25,192,669,192,67,"Friday",2018,2018-07-01,26
"6576",2018-07-28,"Citywide","Respiratory",79,353,35,211,678,211,79,"Saturday",2018,2018-07-01,27
"6583",2018-07-29,"Citywide","Respiratory",101,364,49,185,699,185,101,"Sunday",2018,2018-07-01,28
"6590",2018-07-30,"Citywide","Respiratory",83,449,50,237,819,237,83,"Monday",2018,2018-07-01,29
"6597",2018-07-31,"Citywide","Respiratory",89,432,53,254,828,254,89,"Tuesday",2018,2018-07-01,30
"6604",2018-08-01,"Citywide","Respiratory",79,418,49,226,772,226,79,"Wednesday",2018,2018-07-01,31
"6611",2018-08-02,"Citywide","Respiratory",71,438,54,235,798,235,71,"Thursday",2018,2018-07-01,32
"6618",2018-08-03,"Citywide","Respiratory",85,373,44,188,690,188,85,"Friday",2018,2018-07-01,33
"6625",2018-08-04,"Citywide","Respiratory",80,342,38,212,672,212,80,"Saturday",2018,2018-07-01,34
"6632",2018-08-05,"Citywide","Respiratory",84,358,46,183,671,183,84,"Sunday",2018,2018-07-01,35
"6639",2018-08-06,"Citywide","Respiratory",91,538,55,255,939,255,91,"Monday",2018,2018-07-01,36
"6646",2018-08-07,"Citywide","Respiratory",102,449,56,216,823,216,102,"Tuesday",2018,2018-07-01,37
"6653",2018-08-08,"Citywide","Respiratory",77,419,54,221,771,221,77,"Wednesday",2018,2018-07-01,38
"6660",2018-08-09,"Citywide","Respiratory",83,430,47,232,792,232,83,"Thursday",2018,2018-07-01,39
"6667",2018-08-10,"Citywide","Respiratory",85,395,49,223,752,223,85,"Friday",2018,2018-07-01,40
"6674",2018-08-11,"Citywide","Respiratory",102,324,45,175,646,175,102,"Saturday",2018,2018-07-01,41
"6681",2018-08-12,"Citywide","Respiratory",123,382,54,205,764,205,123,"Sunday",2018,2018-07-01,42
"6688",2018-08-13,"Citywide","Respiratory",93,492,64,258,907,258,93,"Monday",2018,2018-07-01,43
"6695",2018-08-14,"Citywide","Respiratory",89,434,42,245,810,245,89,"Tuesday",2018,2018-07-01,44
"6702",2018-08-15,"Citywide","Respiratory",88,453,45,240,826,240,88,"Wednesday",2018,2018-07-01,45
"6709",2018-08-16,"Citywide","Respiratory",83,468,60,235,846,235,83,"Thursday",2018,2018-07-01,46
"6716",2018-08-17,"Citywide","Respiratory",97,430,54,231,812,231,97,"Friday",2018,2018-07-01,47
"6723",2018-08-18,"Citywide","Respiratory",99,384,40,180,703,180,99,"Saturday",2018,2018-07-01,48
"6730",2018-08-19,"Citywide","Respiratory",93,394,45,198,730,198,93,"Sunday",2018,2018-07-01,49
"6737",2018-08-20,"Citywide","Respiratory",89,505,60,246,900,246,89,"Monday",2018,2018-07-01,50
"6744",2018-08-21,"Citywide","Respiratory",95,419,52,265,831,265,95,"Tuesday",2018,2018-07-01,51
"6751",2018-08-22,"Citywide","Respiratory",93,451,50,230,824,230,93,"Wednesday",2018,2018-07-01,52
"6758",2018-08-23,"Citywide","Respiratory",110,429,54,216,809,216,110,"Thursday",2018,2018-07-01,53
"6765",2018-08-24,"Citywide","Respiratory",93,401,33,215,742,215,93,"Friday",2018,2018-07-01,54
"6772",2018-08-25,"Citywide","Respiratory",90,329,48,179,646,179,90,"Saturday",2018,2018-07-01,55
"6779",2018-08-26,"Citywide","Respiratory",121,355,53,176,705,176,121,"Sunday",2018,2018-07-01,56
"6786",2018-08-27,"Citywide","Respiratory",127,516,59,232,934,232,127,"Monday",2018,2018-07-01,57
"6793",2018-08-28,"Citywide","Respiratory",97,465,63,240,865,240,97,"Tuesday",2018,2018-07-01,58
"6800",2018-08-29,"Citywide","Respiratory",115,462,55,236,868,236,115,"Wednesday",2018,2018-07-01,59
"6807",2018-08-30,"Citywide","Respiratory",106,428,44,196,774,196,106,"Thursday",2018,2018-07-01,60
"6814",2018-08-31,"Citywide","Respiratory",93,420,51,187,751,187,93,"Friday",2018,2018-07-01,61
"6821",2018-09-01,"Citywide","Respiratory",84,364,53,196,697,196,84,"Saturday",2018,2018-07-01,62
"6828",2018-09-02,"Citywide","Respiratory",105,420,57,221,803,221,105,"Sunday",2018,2018-07-01,63
"6835",2018-09-03,"Citywide","Respiratory",115,451,52,191,809,191,115,"Monday",2018,2018-07-01,64
"6842",2018-09-04,"Citywide","Respiratory",112,499,53,264,928,264,112,"Tuesday",2018,2018-07-01,65
"6849",2018-09-05,"Citywide","Respiratory",91,452,71,249,863,249,91,"Wednesday",2018,2018-07-01,66
"6856",2018-09-06,"Citywide","Respiratory",96,470,58,240,864,240,96,"Thursday",2018,2018-07-01,67
"6863",2018-09-07,"Citywide","Respiratory",109,465,63,209,846,209,109,"Friday",2018,2018-07-01,68
"6870",2018-09-08,"Citywide","Respiratory",110,388,63,202,763,202,110,"Saturday",2018,2018-07-01,69
"6877",2018-09-09,"Citywide","Respiratory",125,394,59,186,764,186,125,"Sunday",2018,2018-07-01,70
"6884",2018-09-10,"Citywide","Respiratory",117,537,86,267,1007,267,117,"Monday",2018,2018-07-01,71
"6891",2018-09-11,"Citywide","Respiratory",132,517,100,261,1010,261,132,"Tuesday",2018,2018-07-01,72
"6898",2018-09-12,"Citywide","Respiratory",108,542,83,264,997,264,108,"Wednesday",2018,2018-07-01,73
"6905",2018-09-13,"Citywide","Respiratory",108,465,93,223,889,223,108,"Thursday",2018,2018-07-01,74
"6912",2018-09-14,"Citywide","Respiratory",149,477,84,230,940,230,149,"Friday",2018,2018-07-01,75
"6919",2018-09-15,"Citywide","Respiratory",164,396,89,215,864,215,164,"Saturday",2018,2018-07-01,76
"6926",2018-09-16,"Citywide","Respiratory",170,418,131,201,920,201,170,"Sunday",2018,2018-07-01,77
"6933",2018-09-17,"Citywide","Respiratory",198,615,189,293,1295,293,198,"Monday",2018,2018-07-01,78
"6940",2018-09-18,"Citywide","Respiratory",160,578,177,253,1168,253,160,"Tuesday",2018,2018-07-01,79
"6947",2018-09-19,"Citywide","Respiratory",161,555,129,286,1131,286,161,"Wednesday",2018,2018-07-01,80
"6954",2018-09-20,"Citywide","Respiratory",193,560,182,278,1213,278,193,"Thursday",2018,2018-07-01,81
"6961",2018-09-21,"Citywide","Respiratory",177,536,165,255,1133,255,177,"Friday",2018,2018-07-01,82
"6968",2018-09-22,"Citywide","Respiratory",194,450,147,213,1004,213,194,"Saturday",2018,2018-07-01,83
"6975",2018-09-23,"Citywide","Respiratory",235,500,177,205,1117,205,235,"Sunday",2018,2018-07-01,84
"6982",2018-09-24,"Citywide","Respiratory",248,635,234,303,1420,303,248,"Monday",2018,2018-07-01,85
